"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","95","25/GET /todos (200) XML @api","chromium","Wed Nov 26 13:50:18 UTC 2025","passed","Wed Nov 26 13:50:18 UTC 2025","POST /challenger @api","","",""
"","97","13/POST /todos (201) max out content @api","chromium","Wed Nov 26 13:50:16 UTC 2025","passed","Wed Nov 26 13:50:17 UTC 2025","POST /challenger @api","","",""
"","99","14/POST /todos (413) content too long @api","chromium","Wed Nov 26 13:50:17 UTC 2025","passed","Wed Nov 26 13:50:17 UTC 2025","POST /challenger @api","","",""
"","98","05/GET /todos/{id} (200) @api","chromium","Wed Nov 26 13:50:15 UTC 2025","passed","Wed Nov 26 13:50:15 UTC 2025","POST /challenger @api","","",""
"","96","04/GET /todo (404) not plural @api","chromium","Wed Nov 26 13:50:15 UTC 2025","passed","Wed Nov 26 13:50:15 UTC 2025","POST /challenger @api","","",""
"","95","27/GET /todos (200) ANY @api","chromium","Wed Nov 26 13:50:18 UTC 2025","passed","Wed Nov 26 13:50:18 UTC 2025","POST /challenger @api","","",""
"","189","02/GET /challenges (200) @api","chromium","Wed Nov 26 13:50:15 UTC 2025","passed","Wed Nov 26 13:50:15 UTC 2025","POST /challenger @api","","",""
"","101","24/OPTIONS /todos (200) @api","chromium","Wed Nov 26 13:50:18 UTC 2025","passed","Wed Nov 26 13:50:18 UTC 2025","POST /challenger @api","","",""
"","94","26/GET /todos (200) JSON @api","chromium","Wed Nov 26 13:50:18 UTC 2025","passed","Wed Nov 26 13:50:18 UTC 2025","POST /challenger @api","","",""
"","97","18/POST /todos/{id} (404) @api","chromium","Wed Nov 26 13:50:17 UTC 2025","passed","Wed Nov 26 13:50:17 UTC 2025","POST /challenger @api","","",""
"","100","03/GET /todos (200) @api","chromium","Wed Nov 26 13:50:15 UTC 2025","passed","Wed Nov 26 13:50:15 UTC 2025","POST /challenger @api","","",""
"","95","22/PUT /todos/{id} no amend id (400) @api","chromium","Wed Nov 26 13:50:17 UTC 2025","passed","Wed Nov 26 13:50:18 UTC 2025","POST /challenger @api","","",""
"","100","07/GET /todos (200) ?filter @api","chromium","Wed Nov 26 13:50:16 UTC 2025","passed","Wed Nov 26 13:50:16 UTC 2025","POST /challenger @api","","",""
"","105","10/POST /todos (400) doneStatus @api","chromium","Wed Nov 26 13:50:16 UTC 2025","passed","Wed Nov 26 13:50:16 UTC 2025","POST /challenger @api","","",""
"","95","21/PUT /todos/{id} no title (400) @api","chromium","Wed Nov 26 13:50:17 UTC 2025","passed","Wed Nov 26 13:50:17 UTC 2025","POST /challenger @api","","",""
"","94","23/DELETE /todos/{id} (200) @api","chromium","Wed Nov 26 13:50:18 UTC 2025","passed","Wed Nov 26 13:50:18 UTC 2025","POST /challenger @api","","",""
"","96","28/GET /todos (200) XML pref @api","chromium","Wed Nov 26 13:50:18 UTC 2025","passed","Wed Nov 26 13:50:18 UTC 2025","POST /challenger @api","","",""
"","96","29/GET /todos (200) no accept @api","chromium","Wed Nov 26 13:50:18 UTC 2025","passed","Wed Nov 26 13:50:18 UTC 2025","POST /challenger @api","","",""
"","96","08/HEAD /todos (200) @api","chromium","Wed Nov 26 13:50:16 UTC 2025","passed","Wed Nov 26 13:50:16 UTC 2025","POST /challenger @api","","",""
"","109","19/PUT /todos/{id} full (200) @api","chromium","Wed Nov 26 13:50:17 UTC 2025","passed","Wed Nov 26 13:50:17 UTC 2025","POST /challenger @api","","",""
"","5117","Пользователь создает статью @ui","chromium","Wed Nov 26 13:50:18 UTC 2025","passed","Wed Nov 26 13:50:23 UTC 2025","Тесты статей @ui","","",""
"","98","06/GET /todos/{id} (404) @api","chromium","Wed Nov 26 13:50:15 UTC 2025","passed","Wed Nov 26 13:50:16 UTC 2025","POST /challenger @api","","",""
"","4407","Пользователь лайкает статью @ui","chromium","Wed Nov 26 13:50:31 UTC 2025","passed","Wed Nov 26 13:50:35 UTC 2025","Тесты статей @ui","","",""
"","301","09/POST /todos (201) @api","chromium","Wed Nov 26 13:50:16 UTC 2025","passed","Wed Nov 26 13:50:16 UTC 2025","POST /challenger @api","","",""
"","4591","Пользователь ищет статьи по тегу @ui","chromium","Wed Nov 26 13:50:39 UTC 2025","passed","Wed Nov 26 13:50:43 UTC 2025","Тест поиска по тегам @ui","","",""
